id,title,reward_amount,create_time,update_time
1785122566080261,“套路贷”的“借款”是被告人侵吞被害人房产财产的借口，所以“套路贷”是以“借款”为名行非法占有被害人财物之实。而高利贷出借人希望借款人按约定支付高额利息并返还本金，目的是为了获取高额利息,10.00,2026-07-27 11:22:46,2026-07-27 11:22:46
1785122566080750,当你的朋友突然使用qq或者微信向你借钱时，立刻使用QQ或者微信转账。,10.00,2026-07-27 11:22:46,2026-07-27 11:22:46
1785122566081080,当你在电商平台消费时，银行卡最安全的使用方式是专门办理一张银行卡，放入适当资金用于购物。,10.00,2026-07-27 11:22:46,2026-07-27 11:22:46
1785122566081415,金融消费者在购买金融产品和接受金融服务过程中的财产安全由金融消费者自行负责。,10.00,2026-07-27 11:22:46,2026-07-27 11:22:46
1785122566081762,某人一年多未联系的好友通过QQ向其借钱，并称自己银行卡已挂失，让其将钱打到一陌生人的账户之上，陈某觉得朋友既然开口，必定有困难需要帮助，便将钱汇向对方提供的账户里,10.00,2026-07-27 11:22:46,2026-07-27 11:22:46
1785122566082072,收到“有人为你点歌，请回复……”的手机信息后，最好是不予理睬。,10.00,2026-07-27 11:22:46,2026-07-27 11:22:46
1785122566082421,游戏账号充值及交易，在非正规平台进行交易，与对方进行交易。,10.00,2026-07-27 11:22:46,2026-07-27 11:22:46
1785122566082748,欲参加社会培训，只要看下培训方承诺的主要内容就可以了。,10.00,2026-07-27 11:22:46,2026-07-27 11:22:46
1785122566083047,“天上不会掉馅饼，宣扬‘保本高收益’就是金融诈骗”的说法正确吗？,10.00,2026-07-27 11:22:46,2026-07-27 11:22:46
1785122566083384,“征信修复”不可信，任何人都无法删除或者修改信用报告上展示的正确信息，“征信修复”是骗局。,10.00,2026-07-27 11:22:46,2026-07-27 11:22:46
1785122566083694,《保险法》规定，投保人故意不履行如实告知义务的，保险人对于合同解除前发生的保险事故不承担赔偿或者给付保险金的责任。,10.00,2026-07-27 11:22:46,2026-07-27 11:22:46
1785122566084043,QQ或微信上收到好朋友借钱的消息，应电话联系该好友确定消息真假。,10.00,2026-07-27 11:22:46,2026-07-27 11:22:46
1785122566084442,办理停息停贷后便不会影响征信。,10.00,2026-07-27 11:22:46,2026-07-27 11:22:46
1785122566084753,保险公司不得使用强制搭售、信息系统或者网页默认勾选等方式与投保人订立保险合同。,10.00,2026-07-27 11:22:46,2026-07-27 11:22:46
1785122566085089,保险公司和商业银行应当在客户投诉、退保等事件发生的第一时间积极处理，属于哪个部门由哪个部门负责，不得相互推诿，避免产生负面影响使事态扩大。,10.00,2026-07-27 11:22:46,2026-07-27 11:22:46
1785122566085481,保险公司可以在保险事故发生后以不同于核保时的标准重新对保险标的或者被保险人的有关情况进行审核。,10.00,2026-07-27 11:22:46,2026-07-27 11:22:46
1785122566085796,保险活动当事人行使权力、履行义务应当遵守诚实信用原则。,10.00,2026-07-27 11:22:46,2026-07-27 11:22:46
1785122566086115,保险机构作为企业，其从业人员在业交往中收送礼物不受规定限制。,10.00,2026-07-27 11:22:46,2026-07-27 11:22:46
1785122566086485,保险接触个人金融信息岗位的从业人员在上岗前，应当书面做出保密承诺。,10.00,2026-07-27 11:22:46,2026-07-27 11:22:46
1785122566086803,保险金额是指投保人缴纳保险费的金额。,10.00,2026-07-27 11:22:46,2026-07-27 11:22:46
1785122566087122,保险金融机构根据业务需要和风险防范，可以收集与业务无关的个人信息。,10.00,2026-07-27 11:22:46,2026-07-27 11:22:46
1785122566087471,保险金融机构在收集、保存、使用、对外提供个人金融信息时，应当遵守信用。,10.00,2026-07-27 11:22:46,2026-07-27 11:22:46
1785122566087837,保险期间即保险合同的有效期，是保险合同从开始生效到终止的这一段时间。,10.00,2026-07-27 11:22:46,2026-07-27 11:22:46
1785122566088144,保险事故发生后，投保人、被保险人或者受益人以伪造、变造的有关证明、资料或者其他证据，编造虚假的事故原因或者夸大损失程度的，保险人对其虚报的部分不承担赔偿或者给付保险金的责任。,10.00,2026-07-27 11:22:46,2026-07-27 11:22:46
1785122566088519,保险销售人员在产品销售过程中应当以书面形式向投保人提供保险监管部门要求的投保提示书、产品说明书，应当引导投保人在投保单上填写真实完整的客户信息，并在人身保险新型产品投保书上抄录有关声明，可代抄录有关声明或代投保人或被保险人签名。,10.00,2026-07-27 11:22:46,2026-07-27 11:22:46
1785122566088895,被保险人或受益人在未发生保险事故的情况下谎称发生了保险事故属于保险欺诈行为。,10.00,2026-07-27 11:22:46,2026-07-27 11:22:46
1785122566089260,被保险人是指其财产或者人身受保险合同保障，享有保险金请求权的人。投保人不得为被保险人,10.00,2026-07-27 11:22:46,2026-07-27 11:22:46
1785122566089682,不变相强制收集消费者个人信息，防控信息泄露风险属于金融消费者八项权利中的信息安全权的要求。,10.00,2026-07-27 11:22:46,2026-07-27 11:22:46
1785122566090067,不得因金融消费者性别、年龄、种族、民族或者国籍等不同实行歧视性差别对待，不得使用歧视性或者违背公序良俗的表述。,10.00,2026-07-27 11:22:46,2026-07-27 11:22:46
1785122566090413,不满十四周岁未成年人的个人信息属于敏感个人信息。,10.00,2026-07-27 11:22:46,2026-07-27 11:22:46
1785122566090719,不向陌生人提供身份证号码、工作单位、家庭住址等重要信息，不保存身份证照片或号码在手机上，谨慎处理个人账户信息，核实网站域名的真实性，避免点击可疑链接或扫描非正规渠道的二维码,10.00,2026-07-27 11:22:46,2026-07-27 11:22:46
1785122566091047,不要轻易地向陌生人汇款、转账、若是遇到必须要汇款转账的情况一定要再三核实对方的信息,10.00,2026-07-27 11:22:46,2026-07-27 11:22:46
1785122566091386,财产险商业责任险的被保人向保险人请求赔偿保险金的诉讼时效期为被保人对第三者应负的赔偿责任确定之日算起,10.00,2026-07-27 11:22:46,2026-07-27 11:22:46
1785122566091698,财务状况、投资目标可以影响金融消费者的适当性，但风险承受能力不会影响。,10.00,2026-07-27 11:22:46,2026-07-27 11:22:46
1785122566092004,参与网络赌博，公安查不到，也不会被处罚。,10.00,2026-07-27 11:22:46,2026-07-27 11:22:46
1785122566092328,车险缴费可以直接向保险营销员转款，以便实现快捷投保。,10.00,2026-07-27 11:22:46,2026-07-27 11:22:46
1785122566092681,承诺高频回报、以虚假宣传造势、编造虚假项目、夸大投资收益等等都是非法集资常见的手段。,10.00,2026-07-27 11:22:46,2026-07-27 11:22:46
1785122566092990,程同学在网上收到闺蜜发来的QQ消息，称她手机被偷，急需买一个新手机，向她暂借500元。碍于姐妹情谊，程同学二话不说就给对方打款。,10.00,2026-07-27 11:22:46,2026-07-27 11:22:46
1785122566093353,程先生在网上订购了机票，这天他突然收到“航空公司客服”发来短信，称他的航班已取消，如需退票或改签请和短信中所留客服联络。程先生马上拨打该联络改签机票。,10.00,2026-07-27 11:22:46,2026-07-27 11:22:46
1785122566093705,除非另有规定，否则银行不得向境外提供境内消费者金融信息。,10.00,2026-07-27 11:22:46,2026-07-27 11:22:46
1785122566094031,处理个人信息应当遵循公开、透明原则，公开个人信息处理规则，明示处理的目的、方式和范围。,10.00,2026-07-27 11:22:46,2026-07-27 11:22:46
1785122566094442,处理消费者个人信息应当取得个人的同意，涉及敏感信息的，需进行脱敏处理。处理不满14周岁未成年人个人信息时，应取得其父母或者监护人的同意。,10.00,2026-07-27 11:22:46,2026-07-27 11:22:46
1785122566094884,存款保险保费由投保的银行业金融机构的储户交纳。,10.00,2026-07-27 11:22:46,2026-07-27 11:22:46
