id,topic_id,title,seq,answer_flag
1779279050947472,1779279050947148,正确,1,1
1779279050947645,1779279050947148,错误,2,0
1779279050947912,1779279050947784,正确,1,0
1779279050948022,1779279050947784,错误,2,1
1779279050948257,1779279050948127,正确,1,1
1779279050948366,1779279050948127,错误,2,0
1779279050948593,1779279050948475,正确,1,0
1779279050948694,1779279050948475,错误,2,1
1779279050948904,1779279050948793,正确,1,0
1779279050949003,1779279050948793,错误,2,1
1779279050949219,1779279050949101,正确,1,1
1779279050949319,1779279050949101,错误,2,0
1779279050949555,1779279050949437,正确,1,0
1779279050949655,1779279050949437,错误,2,1
1779279050949860,1779279050949752,正确,1,0
1779279050949961,1779279050949752,错误,2,1
1779279050950163,1779279050950057,正确,1,1
1779279050950271,1779279050950057,错误,2,0
1779279050950498,1779279050950385,正确,1,1
1779279050950599,1779279050950385,错误,2,0
1779279050950816,1779279050950696,正确,1,1
1779279050950922,1779279050950696,错误,2,0
1779279050951125,1779279050951020,正确,1,1
1779279050951235,1779279050951020,错误,2,0
1779279050951469,1779279050951333,正确,1,0
1779279050951572,1779279050951333,错误,2,1
1779279050951783,1779279050951675,正确,1,1
1779279050951882,1779279050951675,错误,2,0
1779279050952086,1779279050951978,正确,1,0
1779279050952199,1779279050951978,错误,2,1
1779279050952433,1779279050952298,正确,1,0
1779279050952556,1779279050952298,错误,2,1
1779279050952763,1779279050952657,正确,1,1
1779279050952862,1779279050952657,错误,2,0
1779279050953063,1779279050952959,正确,1,0
1779279050953189,1779279050952959,错误,2,1
1779279050953410,1779279050953288,正确,1,1
1779279050953515,1779279050953288,错误,2,0
1779279050953717,1779279050953613,正确,1,0
1779279050953813,1779279050953613,错误,2,1
1779279050954020,1779279050953915,正确,1,0
1779279050954117,1779279050953915,错误,2,1
1779279050954330,1779279050954224,正确,1,1
1779279050954455,1779279050954224,错误,2,0
1779279050954660,1779279050954555,正确,1,1
1779279050954757,1779279050954555,错误,2,0
1779279050954965,1779279050954854,正确,1,1
1779279050955063,1779279050954854,错误,2,0
1779279050955283,1779279050955160,正确,1,0
1779279050955407,1779279050955160,错误,2,1
1779279050955614,1779279050955510,正确,1,1
1779279050955708,1779279050955510,错误,2,0
1779279050955906,1779279050955800,正确,1,0
1779279050955999,1779279050955800,错误,2,1
1779279050956207,1779279050956093,正确,1,1
1779279050956300,1779279050956093,错误,2,0
1779279050956552,1779279050956421,正确,1,1
1779279050956654,1779279050956421,错误,2,0
1779279050956859,1779279050956753,正确,1,1
1779279050956962,1779279050956753,错误,2,0
1779279050957179,1779279050957060,正确,1,1
1779279050957291,1779279050957060,错误,2,0
1779279050957520,1779279050957406,正确,1,1
1779279050957622,1779279050957406,错误,2,0
1779279050957830,1779279050957722,正确,1,1
1779279050957931,1779279050957722,错误,2,0
1779279050958136,1779279050958029,正确,1,0
1779279050958246,1779279050958029,错误,2,1
1779279050958478,1779279050958363,正确,1,0
1779279050958580,1779279050958363,错误,2,1
1779279050958784,1779279050958679,正确,1,0
1779279050958882,1779279050958679,错误,2,1
1779279050959087,1779279050958980,正确,1,1
1779279050959195,1779279050958980,错误,2,0
1779279050959422,1779279050959295,正确,1,0
1779279050959533,1779279050959295,错误,2,1
1779279050959743,1779279050959632,正确,1,0
1779279050959842,1779279050959632,错误,2,1
1779279050960048,1779279050959943,正确,1,1
1779279050960147,1779279050959943,错误,2,0
1779279050960367,1779279050960252,正确,1,1
1779279050960471,1779279050960252,错误,2,0
1779279050960684,1779279050960573,正确,1,1
1779279050960784,1779279050960573,错误,2,0
1779279050961124,1779279050961009,正确,1,0
1779279050961234,1779279050961009,错误,2,1
1779279050961459,1779279050961333,正确,1,1
1779279050961561,1779279050961333,错误,2,0
1779279050961764,1779279050961659,正确,1,1
1779279050961862,1779279050961659,错误,2,0
1779279050962072,1779279050961962,正确,1,1
1779279050962181,1779279050961962,错误,2,0
1779279050962405,1779279050962282,正确,1,1
1779279050962513,1779279050962282,错误,2,0
1779279050962729,1779279050962618,正确,1,1
1779279050962828,1779279050962618,错误,2,0
1779279050963032,1779279050962927,正确,1,1
1779279050963131,1779279050962927,错误,2,0
1779279050963360,1779279050963240,正确,1,0
1779279050963465,1779279050963240,错误,2,1
